Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
4-04_SM42-20190812_201756.wav,1,,0,2019-08-12T20:17:56-07:00,8/12/19,TWBA,Pahe,16,16,,Pahe,,,,45.29,0.61,6.89,0.49,4.88,47.91,45.15,1.21,0.28,0.52,205.06,4_04,S3_Summer,8.2,4.2,0.8,16
4-04_SM42-20190812_202619.wav,1,1,2,2019-08-12T20:26:19-07:00,8/12/19,LAXA,Laxa,12,12,,Laxa,,,,33.06,1.22,10.88,1.9,5.78,41.19,32.84,2.18,0.58,1,172.9,4_04,S3_Summer,6.47,4.2,0.8,16
4-04_SM42-20190812_213201.wav,1,,1,2019-08-12T21:32:01-07:00,8/12/19,PAHE,Pahe,13,13,,Pahe,,,,45.99,0.97,5.76,0.44,4.52,48.45,45.6,0.71,0.47,0.61,221.11,4_04,S3_Summer,6.58,4.2,0.8,16
4-04_SM42-20190812_214027.wav,1,,0,2019-08-12T21:40:27-07:00,8/12/19,TWBA,Pahe,16,16,,Pahe,,,,44.16,0.41,6.02,0.29,6.07,48.73,44.02,1.86,0.56,0.87,164.68,4_04,S3_Summer,7.62,4.2,0.8,16
4-04_SM42-20190812_221243.wav,,1,0,2019-08-12T22:12:43-07:00,8/12/19,TWBA,Tabr,5,7,,Tabr,Laxa,,,30.32,0.79,9.24,0.72,4.62,41.6,27.93,3.74,0.85,1.42,216.43,4_04,S3_Summer,8.03,4.2,0.8,16
4-04_SM42-20190812_225757.wav,,1,1,2019-08-12T22:57:57-07:00,8/12/19,TABR,Tabr,11,12,,Tabr,Epfu,,,27.28,0.94,10.54,1.11,4.62,32.73,26.05,1.23,0.56,0.77,216.28,4_04,S3_Summer,5.48,4.2,0.8,16
4-04_SM42-20190812_233540.wav,,1,1,2019-08-12T23:35:40-07:00,8/12/19,TABR,Tabr,6,8,,Tabr,Lano,,,29.51,1.16,10.58,1.29,4.21,37.82,27.85,1.82,0.57,0.96,237.46,4_04,S3_Summer,8.9,4.2,0.8,16
4-04_SM42-20190812_235026.wav,,1,0,2019-08-12T23:50:26-07:00,8/12/19,TWBA,Tabr,10,13,,Tabr,Laxa,Epfu,,28.44,1.13,11.27,1.12,4.04,33.62,27.35,1.24,0.41,0.61,247.71,4_04,S3_Summer,5.76,4.2,0.8,16
4-04_SM42-20190812_235954.wav,1,,0,2019-08-12T23:59:54-07:00,8/12/19,TWBA,Pahe,10,10,,Pahe,,,,45.14,0.78,5.16,0.35,5.07,48.91,44.93,1.5,0.57,0.85,197.23,4_04,S3_Summer,7.08,4.2,0.8,16
4-04_SM42-20190813_000103.wav,1,1,0,2019-08-13T00:01:03-07:00,8/12/19,NOID,,2,2,Myve,Myve,,,,37.08,0.59,6.71,1.04,7.65,56.33,36.61,7.26,1.44,2.66,130.8,4_04,S3_Summer,5.4,4.2,0.8,16
