Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
2-02_SM42-20190204_180622.wav,,,0,2019-02-04T18:06:22-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_180922.wav,,,0,2019-02-04T18:09:22-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_182816.wav,,,0,2019-02-04T18:28:16-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_183027.wav,,,0,2019-02-04T18:30:27-07:00,2/4/19,NOBA,,,,,,,,,,,,,1.72,16.45,15.83,0.13,0.39,0.22,580.15,2-Feb,S1_Winter,4.21,4.2,0.8,16
2-02_SM42-20190204_183053.wav,,,0,2019-02-04T18:30:53-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_183118.wav,,,0,2019-02-04T18:31:18-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_183217.wav,,,0,2019-02-04T18:32:17-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_191450.wav,,,0,2019-02-04T19:14:50-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_191602.wav,,,0,2019-02-04T19:16:02-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_194857.wav,,,0,2019-02-04T19:48:57-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_194902.wav,,,0,2019-02-04T19:49:02-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_195133.wav,,1,0,2019-02-04T19:51:33-07:00,2/4/19,NOID,Tabr,2,2,,Tabr,,,,21.03,0.16,15.68,2.37,0.89,21.39,20.78,0.09,0.01,0.03,1120.04,2-Feb,S1_Winter,4.82,4.2,0.8,16
2-02_SM42-20190204_195401.wav,,1,1,2019-02-04T19:54:01-07:00,2/4/19,TABR,Tabr,9,9,,Tabr,,,,21.66,0.63,16.94,1.59,1.23,22.55,21.14,0.17,0.04,0.08,812.48,2-Feb,S1_Winter,12.91,4.2,0.8,16
2-02_SM42-20190204_195428.wav,,,0,2019-02-04T19:54:28-07:00,2/4/19,NOID,,,,,,,,,,,,,0.99,20.64,19.34,0.09,0.01,0.04,1012.3,2-Feb,S1_Winter,3.7,4.2,0.8,16
2-02_SM42-20190204_195436.wav,,,0,2019-02-04T19:54:36-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_195612.wav,,,0,2019-02-04T19:56:12-07:00,2/4/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
2-02_SM42-20190204_195841.wav,,1,0,2019-02-04T19:58:41-07:00,2/4/19,NOID,Tabr,2,2,,Tabr,,,,22.62,0.01,12.05,1.39,1.02,23.56,22.3,0.23,0.11,0.13,977.75,2-Feb,S1_Winter,3.02,4.2,0.8,16
2-02_SM42-20190204_195939.wav,,1,0,2019-02-04T19:59:39-07:00,2/4/19,NOID,Tabr,3,3,,Tabr,,,,21.19,0.08,17.25,1.22,1.67,21.4,20.66,0.04,0.01,0.02,597.15,2-Feb,S1_Winter,5.07,4.2,0.8,16
2-02_SM42-20190204_195947.wav,,,0,2019-02-04T19:59:47-07:00,2/4/19,NOID,,1,1,Tabr/,Tabr,,,,22.03,,9.99,,,22.6,21.78,0.17,0.06,0.1,,2-Feb,S1_Winter,2.01,4.2,0.8,16
2-02_SM42-20190204_201424.wav,,1,0,2019-02-04T20:14:24-07:00,2/4/19,NOID,,1,1,Laci,Laci,,,,17.42,0.28,9.48,0.04,1.03,20.06,15.99,0.75,0.45,0.57,973.85,2-Feb,S1_Winter,2.99,4.2,0.8,16
2-02_SM42-20190204_201429.wav,,1,0,2019-02-04T20:14:29-07:00,2/4/19,APPH,Nysp,6,7,,Nysp,Laci,,,16.68,1.82,8.95,4.43,4.57,29.72,14.08,4.98,1.69,2.36,218.7,2-Feb,S1_Winter,5.5,4.2,0.8,16
2-02_SM42-20190204_201436.wav,,1,0,2019-02-04T20:14:36-07:00,2/4/19,NOID,,1,1,Nysp,Nysp,,,,17.29,0.04,10.24,0.55,1.16,19.41,14.49,0.77,0.34,0.54,865.6,2-Feb,S1_Winter,11.37,4.2,0.8,16
2-02_SM42-20190204_201449.wav,,,0,2019-02-04T20:14:49-07:00,2/4/19,NOID,,1,1,Nysp,Nysp,,,,16.72,,11.96,,1.3,19.11,13.95,0.61,0.36,0.48,766.3,2-Feb,S1_Winter,3.3,4.2,0.8,16
2-02_SM42-20190204_201454.wav,,1,0,2019-02-04T20:14:54-07:00,2/4/19,APPH,,2,2,Nysp,Nysp,,,,17.93,0.67,10.56,1.71,1.56,25.01,15.8,1.65,0.68,1.04,640.13,2-Feb,S1_Winter,4.65,4.2,0.8,16
2-02_SM42-20190204_201521.wav,,,0,2019-02-04T20:15:21-07:00,2/4/19,NOID,,,,,,,,,,,,,Inf,,,,,,,2-Feb,S1_Winter,0,0,0.8,0
