Filename,HiF,LoF,Call Quality,Timestamp,MonitoringNight,Species Manual ID,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),Version,AccpQuality,Max#CallsConsidered
4-06_SM42-20190729_201250.wav,,1,0,2019-07-29T20:12:50-07:00,7/29/19,NOID,,3,3,Laxa,Laxa,,,,32.17,0.8,6.91,1.38,6.72,44.49,32.01,4.27,1.04,2.12,148.92,4_06,S3_Summer,2.51,4.2,0.8,16
4-06_SM42-20190729_201349.wav,,1,0,2019-07-29T20:13:49-07:00,7/29/19,NOID,,2,2,Laxa,Laxa,,,,31.77,0.14,7.91,0.74,8.21,40.96,31.3,2.4,0.87,1.48,121.77,4_06,S3_Summer,4.54,4.2,0.8,16
4-06_SM42-20190729_201450.wav,,1,1,2019-07-29T20:14:50-07:00,7/29/19,LAXA,Laxa,11,11,,Laxa,,,,34.95,0.82,5.05,0.75,8.23,57.53,33.65,9.34,2.74,4.88,121.57,4_06,S3_Summer,3.84,4.2,0.8,16
4-06_SM42-20190729_201522.wav,,1,0,2019-07-29T20:15:22-07:00,7/29/19,NOID,,1,1,Laxa/,Laxa,,,,32.15,1.66,7.39,2.14,5.71,40.19,30.53,2.48,0.78,1.3,175.03,4_06,S3_Summer,5.16,4.2,0.8,16
4-06_SM42-20190729_201546.wav,,1,0,2019-07-29T20:15:46-07:00,7/29/19,NOID,,1,1,Laxa,Laxa,,,,32.6,0.5,6.86,0.51,7.39,50.44,32.97,6.3,1.63,2.63,135.28,4_06,S3_Summer,3.29,4.2,0.8,16
4-06_SM42-20190729_201556.wav,,1,0,2019-07-29T20:15:56-07:00,7/29/19,NOID,,1,1,Laxa/,Laxa,,,,31.44,0.65,7.99,0.83,7.72,40.18,30.32,2.11,0.62,1.15,129.5,4_06,S3_Summer,3.07,4.2,0.8,16
4-06_SM42-20190729_201601.wav,,1,0,2019-07-29T20:16:01-07:00,7/29/19,NOID,,2,2,Laxa,Laxa,,,,31.4,0.38,8.18,1.12,7.92,47.33,31,6.52,1.27,2.08,126.32,4_06,S3_Summer,3.62,4.2,0.8,16
4-06_SM42-20190729_201607.wav,,1,1,2019-07-29T20:16:07-07:00,7/29/19,LAXA,Laxa,10,10,,Laxa,,,,34.69,1.02,4.97,0.96,7.02,57.08,33.51,9.57,2.8,4.84,142.49,4_06,S3_Summer,4.24,4.2,0.8,16
4-06_SM42-20190729_210929.wav,,1,0,2019-07-29T21:09:29-07:00,7/29/19,TWBA,Tabr,13,13,,Tabr,,,,23.26,0.98,12.98,1.41,3.03,25.72,21.84,0.51,0.21,0.33,329.82,4_06,S3_Summer,11.68,4.2,0.8,16
4-06_SM42-20190729_211848.wav,,1,0,2019-07-29T21:18:48-07:00,7/29/19,NOID,Tabr,4,4,,Tabr,,,,21.58,0.52,14.21,2.35,2.89,22.44,21.32,0.21,0.05,0.07,345.54,4_06,S3_Summer,3.5,4.2,0.8,16
4-06_SM42-20190729_212010.wav,,,0,2019-07-29T21:20:10-07:00,7/29/19,NOBA,,,,,,,,,,,,,Inf,,,,,,,4_06,S3_Summer,0,0,0.8,0
4-06_SM42-20190729_212024.wav,,1,0,2019-07-29T21:20:24-07:00,7/29/19,TWBA,Tabr,8,8,,Tabr,,,,22.02,0.45,15.86,0.65,2.8,23.57,21.26,0.28,0.1,0.15,356.52,4_06,S3_Summer,6.87,4.2,0.8,16
4-06_SM42-20190729_212141.wav,,,0,2019-07-29T21:21:41-07:00,7/29/19,NOID,,1,1,Tabr/,Tabr,,,,22.16,,12.36,,,22.62,21.76,0.06,0.07,0.06,,4_06,S3_Summer,2.01,4.2,0.8,16
4-06_SM42-20190729_213756.wav,,1,0,2019-07-29T21:37:56-07:00,7/29/19,TWBA,Tabr,11,11,,Tabr,,,,23.33,0.6,13.47,1.48,2.53,25.09,22.38,0.26,0.18,0.21,395.2,4_06,S3_Summer,9.46,4.2,0.8,16
4-06_SM42-20190729_224308.wav,,1,0,2019-07-29T22:43:08-07:00,7/29/19,TWBA,Laxa,12,12,,Laxa,,,,32.72,1.3,7.62,1.19,4.48,54.59,31.9,8.64,1.43,2.92,223.3,4_06,S3_Summer,8.04,4.2,0.8,16
4-06_SM42-20190729_224324.wav,,1,2,2019-07-29T22:43:24-07:00,7/29/19,LAXA,Laxa,13,13,,Laxa,,,,29.71,0.75,11.49,0.75,4.2,35.31,29.34,1.24,0.4,0.65,238.25,4_06,S3_Summer,8.07,4.2,0.8,16
4-06_SM42-20190729_224338.wav,,1,0,2019-07-29T22:43:38-07:00,7/29/19,NOID,,3,3,Laxa,Laxa,,,,31.19,0.42,8.47,1.11,5.16,43.05,31.02,4.01,0.7,1.49,193.96,4_06,S3_Summer,3.24,4.2,0.8,16
4-06_SM42-20190729_224354.wav,,1,0,2019-07-29T22:43:54-07:00,7/29/19,TWBA,Laxa,10,10,,Laxa,,,,32.14,1.02,7.91,0.81,5.15,50.87,31.51,6.34,1.15,2.3,194.04,4_06,S3_Summer,5.85,4.2,0.8,16
4-06_SM42-20190729_224425.wav,,,0,2019-07-29T22:44:25-07:00,7/29/19,NOID,,1,1,Laxa,Laxa,,,,30.61,,8.47,,2.62,42.23,30.29,3.27,0.73,1.34,382,4_06,S3_Summer,2.53,4.2,0.8,16
4-06_SM42-20190729_224448.wav,,1,0,2019-07-29T22:44:48-07:00,7/29/19,TWBA,Laxa,7,7,,Laxa,,,,31.63,1.56,9.21,1.77,4.97,48.09,31.09,4.42,0.97,1.92,201.21,4_06,S3_Summer,8.81,4.2,0.8,16
4-06_SM42-20190729_230540.wav,,1,0,2019-07-29T23:05:40-07:00,7/29/19,TWBA,Tabr,11,11,,Tabr,,,,21,0.27,14.84,0.79,2.18,22.07,20.44,0.21,0.13,0.08,458,4_06,S3_Summer,9.11,4.2,0.8,16
4-06_SM42-20190729_231244.wav,,1,0,2019-07-29T23:12:44-07:00,7/29/19,TWBA,Laxa,9,10,,Laxa,Tabr,,,30.82,1.86,10.16,2.44,8.26,44.79,30.1,4.6,0.83,1.57,121.14,4_06,S3_Summer,8.87,4.2,0.8,16
4-06_SM42-20190729_231435.wav,,1,0,2019-07-29T23:14:35-07:00,7/29/19,TWBA,Laxa,10,11,,Laxa,Tabr,,,31.37,1.23,9.5,1.61,6.72,46.95,30.56,4.07,0.9,1.81,148.75,4_06,S3_Summer,9.81,4.2,0.8,16
4-06_SM42-20190729_231618.wav,1,,0,2019-07-29T23:16:18-07:00,7/29/19,NOID,,,,,,,,,41.81,0.25,5.57,0.2,5.32,44.8,40.57,1.16,0.47,0.74,187.94,4_06,S3_Summer,4.25,4.2,0.8,16
4-06_SM42-20190729_231856.wav,,1,0,2019-07-29T23:18:56-07:00,7/29/19,NOID,Tabr,2,2,,Tabr,,,,22.32,0.09,13.1,1.19,1.36,22.6,22.08,0.37,0.02,0.02,736.68,4_06,S3_Summer,2.01,4.2,0.8,16
4-06_SM42-20190729_231902.wav,,1,0,2019-07-29T23:19:02-07:00,7/29/19,NOID,Tabr,2,2,,Tabr,,,,22.1,0.02,12.49,2.6,1.94,22.45,21.99,0.03,0.04,0.03,516.27,4_06,S3_Summer,2.91,4.2,0.8,16
