Site #,Site Name,CAP Site,Latitude ,Longitude ,Urban Value
1,1_01,AF14,33.537387,-111.599067,0.00318299
2,1_02,EME,33.352337,-112.309739,0.000190979
3,1_03,EMW,33.301844,-112.374479,0
4,1_04,J9,33.7078,-112.563216,0.000190979
5,1_05,MCS,33.644876,-111.719919,0
6,1_06,T21,33.310309,-112.138555,0
7,1_07,UMP,33.452786,-111.606285,0.021898972
8,1_08,V9,33.745133,-112.050583,0
9,1_09,W19,33.361198,-111.999965,0.002864691
10,1_10,GOAT,33.572103,-112.508041,0.00942165
11,2_01,AF19,33.358414,-111.619076,0.210395649
12,2_02,E12,33.623632,-112.77763,0.001082217
13,2_03,EMP,33.365078,-112.371753,0.005124614
14,2_04,I17,33.440814,-112.577547,0.057580292
15,2_05,MCN,33.724391,-111.695724,0.000986727
16,2_06,PWP,33.565471,-112.01355,0.138300925
17,2_07,SMW,33.33959,-112.079407,0.020944076
18,2_08,TONTO,33.558796,-111.610828,0.009485311
19,2_09,U13,33.598846,-112.083229,0.098990992
20,2_10,WTM,33.605774,-112.498668,0.007511857
21,3_01,AC16,33.480466,-111.717878,0.122736096
22,3_02,AVE35,33.410859,-112.133047,0.21122323
23,3_03,DBG,33.457054,-111.94366,0.200337395
24,3_04,O17,33.421536,-112.338709,0.157876313
25,3_05,R10,33.689063,-112.201999,0.276570022
26,3_06,S9,33.72129,-112.181047,0.243498743
27,3_07,SME,33.374431,-111.987324,0.241843581
28,3_08,W18,33.379836,-111.993857,0.323423624
29,3_09,X12,33.629683,-111.961947,0.332336009
30,3_10,Y10,33.67404,-111.916574,0.338956624
31,4_01,AB20,33.339148,-111.78075,0.378966808
32,4_02,AE19,33.381364,-111.649997,0.358150035
33,4_03,R13,33.591197,-112.222688,0.476302654
34,4_04,RIO,33.42164,-112.074946,0.436515272
35,4_05,S14,33.551673,-112.170773,0.492472231
36,4_06,V16,33.471432,-112.048969,0.501384616
37,4_07,ASUW,33.607536,-112.166893,0.462997735
38,4_08,Z20,33.350104,-111.86288,0.457172871
39,4_09,AA17,33.455045,-111.805147,0.318394512
40,4_10,AC19,33.390419,-111.703051,0.372218877
41,5_01,AD18,33.387952,-111.672948,0.527007699
42,5_02,AB18,33.413663,-111.782847,0.629627287
43,5_03,R14,33.549907,-112.202632,0.61148423
44,5_04,Y19,33.376726,-111.911282,0.530445278
45,5_05,T14,33.549299,-112.106329,0.586816072
